"","Duration","Protocal_type","Service","flag","Predicted_class"
"104",0,"tcp","printer","REJ","anomaly"
"105",1,"tcp","rje","SF","normal"
"106",0,"tcp","printer","REJ","anomaly"
"107",31,"tcp","supdup","SF","normal"
"108",0,"tcp","http","SF","normal"
"109",0,"tcp","printer","REJ","anomaly"
"110",0,"tcp","http","SF","normal"
"111",0,"tcp","http","SF","normal"
"112",0,"tcp","printer","REJ","anomaly"
"113",8080,"tcp","supdup","SF","anomaly"
"114",8124,"tcp","supdup","SF","anomaly"
"115",0,"tcp","http","SF","normal"
"116",0,"tcp","printer","S0","anomaly"
"117",0,"tcp","http","SF","normal"
"118",0,"icmp","ecr_i","SF","anomaly"
"119",0,"tcp","uucp_path","REJ","anomaly"
"120",0,"udp","printer","SF","normal"
"121",0,"tcp","http","SF","normal"
"122",0,"icmp","ecr_i","SF","anomaly"
"123",0,"tcp","printer","SH","anomaly"
"124",0,"tcp","printer","REJ","anomaly"
"125",0,"tcp","finger","SF","anomaly"
"126",0,"udp","domain_u","SF","normal"
"127",0,"tcp","supdup","SF","normal"
"128",0,"tcp","printer","REJ","anomaly"
"129",0,"tcp","http","SF","normal"
"130",0,"udp","domain_u","SF","normal"
"131",0,"udp","domain_u","SF","normal"
"132",0,"tcp","http","SF","normal"
"133",0,"tcp","supdup","S3","anomaly"
"134",0,"tcp","http","SF","normal"
"135",7554,"tcp","supdup","SF","anomaly"
"136",0,"tcp","http","SF","normal"
"137",0,"tcp","printer","REJ","anomaly"
"138",0,"udp","printer","SF","normal"
"139",0,"tcp","http_8001","RSTO","anomaly"
"140",0,"tcp","http","SF","normal"
"141",0,"tcp","http","SF","normal"
"142",0,"udp","domain_u","SF","normal"
"143",0,"tcp","printer","REJ","anomaly"
"144",0,"tcp","printer","REJ","anomaly"
"145",2079,"tcp","http","RSTR","normal"
"146",0,"icmp","eco_i","SF","anomaly"
"147",0,"tcp","supdup","S0","anomaly"
"148",0,"tcp","printer","REJ","anomaly"
"149",0,"tcp","http","SF","normal"
"150",7466,"tcp","supdup","SF","anomaly"
"151",0,"tcp","supdup","RSTO","normal"
"152",0,"tcp","printer","S0","anomaly"
"153",0,"icmp","ecr_i","SF","anomaly"
"154",1,"tcp","rje","SF","normal"
"155",0,"tcp","http","SF","normal"
"156",0,"tcp","printer","REJ","anomaly"
"157",8169,"tcp","supdup","SF","anomaly"
"158",0,"tcp","login","REJ","anomaly"
"159",0,"tcp","netbios_dgm","S0","anomaly"
"160",0,"tcp","printer","S0","anomaly"
"161",0,"tcp","printer","REJ","anomaly"
"162",0,"tcp","sunrpc","S0","anomaly"
"163",0,"tcp","ntp_u","REJ","anomaly"
"164",0,"tcp","printer","RSTO","anomaly"
"165",282,"tcp","ftp","SF","normal"
"166",0,"tcp","http_8001","S0","anomaly"
"167",0,"tcp","printer","S0","anomaly"
"168",281,"tcp","ftp","SF","normal"
"169",0,"tcp","http","SF","normal"
"170",0,"tcp","printer","S0","anomaly"
"171",7526,"tcp","supdup","SF","anomaly"
"172",0,"tcp","http","SF","normal"
"173",0,"tcp","printer","REJ","anomaly"
"174",0,"tcp","printer","REJ","anomaly"
"175",2079,"tcp","http","RSTR","normal"
"176",0,"tcp","http","SF","normal"
"177",0,"tcp","printer","REJ","anomaly"
"178",0,"tcp","ntp_u","REJ","anomaly"
"179",0,"tcp","supdup","SF","normal"
"180",1,"tcp","rje","SF","normal"
"181",0,"icmp","ecr_i","SF","anomaly"
"182",0,"udp","domain_u","SF","normal"
"183",0,"tcp","http","SF","normal"
"184",0,"tcp","http","SF","normal"
"185",0,"udp","domain_u","SF","normal"
"186",4,"tcp","pop_2","SF","anomaly"
"187",0,"tcp","printer","REJ","anomaly"
"188",0,"tcp","ldap","REJ","anomaly"
"189",0,"udp","domain_u","SF","normal"
"190",0,"tcp","printer","REJ","anomaly"
"191",0,"tcp","http","SF","normal"
"192",7510,"tcp","supdup","SF","anomaly"
"193",0,"tcp","finger","RSTO","anomaly"
"194",0,"tcp","rje","SF","normal"
"195",0,"tcp","http","SF","normal"
"196",0,"udp","domain_u","SF","normal"
"197",27,"tcp","ftp","SF","normal"
"198",0,"tcp","ftp","SF","anomaly"
"199",0,"tcp","whois","REJ","anomaly"
"200",0,"udp","printer","SF","normal"
"201",1,"tcp","supdup","RSTO","anomaly"
"202",0,"tcp","http","SF","normal"
"203",0,"tcp","http","S0","anomaly"
"204",0,"tcp","http","SF","normal"
"205",0,"tcp","http","SF","normal"
"206",0,"tcp","ntp_u","REJ","anomaly"
"207",0,"tcp","uucp_path","REJ","anomaly"
"208",0,"tcp","supdup","S3","anomaly"
"209",0,"tcp","http","SF","normal"
"210",0,"tcp","http","SF","normal"
"211",2069,"tcp","http","RSTR","normal"
"212",0,"tcp","ftp_data","SF","anomaly"
"213",0,"tcp","http","SF","normal"
"214",0,"tcp","http","SF","normal"
"215",0,"udp","printer","SF","normal"
"216",0,"icmp","ecr_i","SF","anomaly"
"217",0,"tcp","http","SF","normal"
"218",0,"udp","domain_u","SF","normal"
"219",0,"tcp","http","SF","normal"
"220",0,"udp","printer","SF","normal"
"221",0,"tcp","http","SF","normal"
"222",0,"tcp","http","SF","normal"
"223",0,"udp","printer","SF","normal"
"224",0,"tcp","printer","REJ","anomaly"
"225",0,"tcp","http","SF","normal"
"226",0,"tcp","http","SF","normal"
"227",0,"tcp","http","SF","normal"
"228",0,"tcp","printer","S0","anomaly"
"229",0,"udp","domain_u","SF","normal"
"230",0,"tcp","http","SF","normal"
"231",0,"udp","printer","SF","normal"
"232",0,"tcp","sql_net","REJ","anomaly"
"233",0,"tcp","ftp_data","SF","anomaly"
"234",0,"tcp","http","SF","normal"
"235",0,"tcp","auth","REJ","anomaly"
"236",0,"icmp","ecr_i","SF","anomaly"
"237",0,"tcp","http","S0","anomaly"
"238",0,"udp","printer","SF","normal"
"239",902,"tcp","http","RSTR","normal"
"240",0,"tcp","supdup","SF","anomaly"
"241",1,"tcp","rje","SF","normal"
"242",0,"udp","domain_u","SF","normal"
"243",0,"tcp","http","S0","anomaly"
"244",0,"tcp","printer","REJ","anomaly"
"245",0,"tcp","printer","S0","anomaly"
"246",0,"tcp","http","SF","normal"
"247",282,"tcp","ftp","SF","normal"
"248",0,"tcp","printer","S0","anomaly"
"249",0,"tcp","name","S0","anomaly"
"250",0,"tcp","http","SF","normal"
"251",1,"tcp","rje","SF","normal"
"252",0,"tcp","rje","SF","normal"
"253",4,"tcp","pop_2","SF","anomaly"
"254",0,"tcp","http","SF","normal"
"255",0,"tcp","printer","S0","anomaly"
"256",0,"tcp","ntp_u","REJ","anomaly"
"257",0,"tcp","supdup","S0","anomaly"
"258",0,"tcp","http","SF","normal"
"259",281,"tcp","ftp","SF","normal"
"260",0,"tcp","http","SF","normal"
"261",0,"tcp","http","SF","normal"
"262",0,"tcp","ftp_data","SF","anomaly"
"263",0,"tcp","http","SF","normal"
"264",0,"tcp","printer","REJ","anomaly"
"265",0,"tcp","supdup","RSTO","anomaly"
"266",0,"tcp","printer","S0","anomaly"
"267",0,"tcp","ftp","SF","anomaly"
"268",0,"udp","domain_u","SF","normal"
"269",0,"tcp","http","SF","normal"
"270",0,"icmp","eco_i","SF","anomaly"
"271",0,"tcp","urp_i","REJ","anomaly"
"272",0,"tcp","http","SF","normal"
"273",0,"tcp","printer","S0","anomaly"
"274",0,"tcp","printer","RSTR","anomaly"
"275",0,"tcp","printer","REJ","anomaly"
"276",0,"udp","printer","SF","normal"
"277",0,"tcp","supdup","REJ","anomaly"
"278",0,"tcp","http","SF","normal"
"279",0,"tcp","printer","RSTO","anomaly"
"280",0,"tcp","printer","REJ","anomaly"
"281",0,"udp","printer","SF","normal"
"282",280,"tcp","ftp_data","SF","normal"
"283",0,"tcp","ftp_data","SF","anomaly"
"284",0,"tcp","http_8001","S0","anomaly"
"285",0,"tcp","finger","S0","anomaly"
"286",0,"tcp","http","SF","normal"
"287",282,"tcp","ftp","SF","normal"
"288",0,"tcp","printer","REJ","anomaly"
"289",0,"tcp","http","SF","normal"
"290",0,"tcp","supdup","S3","anomaly"
"291",0,"tcp","http","SF","normal"
"292",0,"tcp","ntp_u","REJ","anomaly"
"293",0,"tcp","pop_2","RSTO","anomaly"
"294",0,"tcp","http","SF","normal"
"295",0,"tcp","http","SF","normal"
"296",0,"udp","printer","SF","normal"
"297",0,"tcp","sql_net","REJ","anomaly"
"298",0,"tcp","http","SF","normal"
"299",0,"tcp","uucp","REJ","anomaly"
"300",0,"tcp","http","SF","normal"
"301",0,"tcp","printer","REJ","anomaly"
"302",0,"tcp","http","S2","normal"
"303",0,"udp","printer","SF","normal"
"304",5,"tcp","pop_2","SF","normal"
"305",0,"udp","printer","SF","normal"
"306",0,"tcp","http","SF","normal"
"307",0,"tcp","ntp_u","REJ","anomaly"
"308",283,"tcp","ftp","SF","normal"
"309",0,"tcp","printer","REJ","anomaly"
"310",0,"tcp","domain","S0","anomaly"
"311",0,"tcp","ntp_u","REJ","anomaly"
"312",0,"tcp","http","SF","normal"
"313",0,"udp","printer","SF","normal"
"314",0,"tcp","http","SF","normal"
"315",0,"tcp","ftp_data","SF","normal"
"316",0,"tcp","printer","REJ","anomaly"
"317",3,"tcp","pop_2","SF","normal"
"318",0,"tcp","http","SF","normal"
"319",0,"tcp","printer","REJ","anomaly"
"320",0,"tcp","http","SF","normal"
"321",0,"tcp","http","SF","normal"
"322",1,"tcp","rje","SF","normal"
"323",0,"tcp","http","SF","normal"
"324",0,"tcp","printer","REJ","anomaly"
"325",0,"tcp","http","SF","normal"
"326",280,"tcp","ftp_data","SF","normal"
"327",0,"icmp","ecr_i","SF","anomaly"
"328",0,"tcp","supdup","SF","normal"
"329",0,"tcp","http_8001","RSTO","anomaly"
"330",0,"tcp","printer","REJ","anomaly"
"331",0,"tcp","http","REJ","anomaly"
"332",0,"tcp","printer","S1","anomaly"
"333",0,"tcp","printer","REJ","anomaly"
"334",0,"udp","domain_u","SF","anomaly"
"335",0,"tcp","netbios_dgm","REJ","anomaly"
"336",0,"tcp","http","SF","normal"
"337",0,"tcp","http","SF","normal"
"338",0,"udp","printer","SF","normal"
"339",0,"tcp","printer","REJ","anomaly"
"340",0,"tcp","printer","REJ","anomaly"
"341",0,"tcp","pop_2","REJ","anomaly"
"342",0,"tcp","http","S0","anomaly"
"343",0,"tcp","http","SF","normal"
"344",0,"udp","domain_u","SF","normal"
"345",0,"tcp","http","SF","normal"
"346",0,"udp","printer","SF","anomaly"
"347",2,"tcp","supdup","SF","anomaly"
"348",0,"tcp","ntp_u","REJ","anomaly"
"349",7587,"tcp","supdup","SF","anomaly"
"350",0,"udp","domain_u","SF","normal"
"351",0,"tcp","login","S0","anomaly"
"352",0,"tcp","printer","REJ","anomaly"
"353",7,"tcp","pop_2","SF","normal"
"354",0,"tcp","http","SF","normal"
"355",0,"tcp","http","SF","normal"
"356",6,"tcp","pop_2","SF","normal"
"357",0,"tcp","http","SF","normal"
"358",0,"udp","domain_u","SF","normal"
"359",0,"udp","printer","SF","normal"
"360",0,"tcp","mtp","REJ","anomaly"
"361",0,"tcp","http","SF","normal"
"362",0,"tcp","http","SF","normal"
"363",0,"tcp","printer","REJ","anomaly"
"364",0,"tcp","http","SF","normal"
"365",0,"tcp","http","SF","normal"
"366",0,"tcp","rje","SF","normal"
"367",0,"udp","printer","SF","normal"
"368",0,"tcp","printer","REJ","anomaly"
"369",0,"tcp","http","SF","normal"
"370",0,"udp","printer","SF","normal"
"371",0,"udp","domain_u","SF","normal"
"372",0,"tcp","printer","REJ","anomaly"
"373",0,"tcp","http","SF","normal"
"374",0,"udp","printer","SF","normal"
"375",0,"tcp","http","SF","normal"
"376",0,"tcp","printer","REJ","anomaly"
"377",0,"tcp","supdup","SF","normal"
"378",4,"tcp","pop_2","SF","normal"
"379",0,"tcp","printer","REJ","anomaly"
"380",0,"tcp","http","SF","normal"
"381",0,"tcp","http","SF","normal"
"382",8213,"tcp","supdup","SF","anomaly"
"383",0,"tcp","printer","S0","anomaly"
"384",0,"tcp","supdup","S3","anomaly"
"385",12931,"tcp","supdup","SF","normal"
"386",0,"udp","domain_u","SF","normal"
"387",0,"tcp","printer","REJ","anomaly"
"388",0,"tcp","rje","SF","normal"
"389",0,"tcp","ftp_data","SF","normal"
"390",20,"tcp","ftp","SF","normal"
"391",7971,"tcp","supdup","SF","anomaly"
"392",0,"tcp","http","SF","normal"
"393",0,"tcp","printer","REJ","anomaly"
"394",0,"tcp","ntp_u","REJ","anomaly"
"395",0,"tcp","http","SF","normal"
"396",0,"tcp","http","SF","normal"
"397",0,"icmp","ecr_i","SF","anomaly"
"398",0,"tcp","http","SF","normal"
"399",0,"tcp","http","SF","normal"
"400",0,"udp","printer","SF","normal"
"401",0,"tcp","printer","S0","anomaly"
"402",0,"tcp","http","SF","normal"
"403",0,"tcp","pop_2","SF","normal"
"404",0,"tcp","http","REJ","anomaly"
"405",0,"tcp","http","SF","normal"
"406",0,"tcp","pm_dump","REJ","anomaly"
"407",0,"tcp","http","SF","normal"
"408",0,"udp","printer","SF","normal"
"409",7646,"tcp","supdup","SF","anomaly"
"410",0,"tcp","printer","S0","anomaly"
"411",0,"tcp","http","SF","normal"
"412",0,"tcp","supdup","S0","anomaly"
"413",0,"udp","printer","SF","normal"
"414",0,"tcp","ntp_u","REJ","anomaly"
"415",0,"tcp","http","SF","normal"
"416",0,"tcp","http","SF","normal"
"417",0,"tcp","http","SF","normal"
"418",0,"tcp","whois","REJ","anomaly"
"419",1,"tcp","rje","SF","normal"
"420",0,"tcp","rje","SF","normal"
"421",0,"tcp","http_443","S0","anomaly"
"422",0,"tcp","http","SF","normal"
"423",0,"tcp","http","SF","normal"
"424",0,"tcp","printer","REJ","anomaly"
"425",0,"tcp","http","SF","normal"
"426",0,"tcp","ftp_data","SF","normal"
"427",1,"tcp","pop_2","RSTO","anomaly"
"428",0,"tcp","ntp_u","RSTR","anomaly"
"429",0,"tcp","printer","REJ","anomaly"
"430",0,"udp","ntp_u","SF","anomaly"
"431",0,"tcp","finger","RSTO","anomaly"
"432",0,"tcp","http","SF","normal"
"433",1,"tcp","rje","SF","normal"
"434",0,"udp","printer","SF","anomaly"
"435",0,"tcp","pop_2","S0","anomaly"
"436",0,"tcp","http","SF","normal"
"437",0,"tcp","http","SF","normal"
"438",0,"tcp","ntp_u","S0","anomaly"
"439",0,"icmp","eco_i","SF","normal"
"440",4,"tcp","pop_2","SF","anomaly"
"441",0,"tcp","http","SF","normal"
"442",0,"tcp","http","SF","normal"
"443",0,"tcp","http","SF","normal"
"444",0,"tcp","http","SF","normal"
"445",0,"icmp","ecr_i","SF","anomaly"
"446",0,"tcp","http","SF","normal"
"447",0,"tcp","rje","SF","anomaly"
"448",0,"tcp","http","SF","normal"
"449",0,"udp","printer","SF","normal"
"450",0,"tcp","whois","S0","anomaly"
"451",0,"tcp","supdup","SF","normal"
"452",804,"tcp","http","RSTR","normal"
"453",0,"tcp","printer","REJ","anomaly"
"454",0,"udp","printer","SF","anomaly"
"455",0,"udp","domain_u","SF","normal"
"456",0,"tcp","http","SF","normal"
"457",0,"tcp","ntp_u","REJ","anomaly"
"458",0,"tcp","printer","SH","anomaly"
"459",0,"tcp","sql_net","REJ","anomaly"
"460",7590,"tcp","supdup","SF","anomaly"
"461",0,"tcp","http","SF","normal"
"462",0,"tcp","http_8001","S0","anomaly"
"463",0,"tcp","http","SF","normal"
"464",0,"tcp","http","SF","normal"
"465",0,"tcp","printer","REJ","anomaly"
"466",0,"tcp","ntp_u","REJ","anomaly"
"467",0,"tcp","http","SF","normal"
"468",0,"tcp","http","SF","normal"
"469",0,"tcp","http","SF","normal"
"470",0,"udp","printer","SF","normal"
"471",0,"tcp","printer","REJ","anomaly"
"472",0,"tcp","ntp_u","REJ","anomaly"
"473",7,"tcp","pop_2","SF","normal"
"474",0,"tcp","http","SF","normal"
"475",0,"tcp","http","SF","normal"
"476",0,"tcp","http","SF","normal"
"477",3,"tcp","printer","RSTR","anomaly"
"478",0,"udp","printer","SF","normal"
"479",7290,"tcp","supdup","SF","anomaly"
"480",0,"tcp","http","SF","normal"
"481",0,"tcp","http","SF","normal"
"482",280,"tcp","ftp_data","SF","normal"
"483",2,"tcp","supdup","SF","anomaly"
"484",0,"tcp","http","SF","normal"
"485",0,"tcp","printer","S0","anomaly"
"486",0,"udp","printer","SF","anomaly"
"487",8027,"tcp","supdup","SF","anomaly"
"488",0,"tcp","http","SF","normal"
"489",0,"tcp","http","RSTR","normal"
"490",0,"udp","domain_u","SF","normal"
"491",0,"tcp","http","SF","normal"
"492",0,"tcp","http","SF","normal"
"493",0,"tcp","sql_net","RSTO","anomaly"
"494",0,"tcp","pop_2","S0","anomaly"
"495",0,"tcp","discard","RSTO","anomaly"
"496",0,"udp","ntp_u","SF","anomaly"
"497",0,"icmp","eco_i","SF","anomaly"
"498",0,"udp","domain_u","SF","normal"
"499",0,"tcp","courier","S0","anomaly"
"500",0,"udp","domain_u","SF","normal"
"501",0,"icmp","time","SF","anomaly"
"502",0,"tcp","printer","S0","anomaly"
"503",7566,"tcp","supdup","SF","anomaly"
"504",0,"tcp","http_8001","REJ","anomaly"
"505",0,"tcp","http","SF","normal"
"506",0,"icmp","ecr_i","SF","anomaly"
"507",0,"tcp","http","SF","normal"
"508",0,"tcp","supdup","SF","normal"
"509",0,"tcp","printer","REJ","anomaly"
"510",0,"udp","printer","SF","normal"
"511",0,"tcp","http","SF","normal"
"512",0,"tcp","http","SF","anomaly"
"513",1,"tcp","supdup","SF","anomaly"
"514",0,"udp","printer","SF","normal"
"515",0,"icmp","ecr_i","SF","anomaly"
"516",0,"icmp","ecr_i","SF","anomaly"
"517",0,"icmp","eco_i","SF","anomaly"
"518",2057,"tcp","http","RSTR","normal"
"519",0,"tcp","http","SF","normal"
"520",0,"tcp","printer","REJ","anomaly"
"521",0,"tcp","mtp","REJ","anomaly"
"522",0,"tcp","ftp_data","SF","normal"
"523",0,"tcp","http","SF","normal"
"524",0,"tcp","auth","SF","anomaly"
"525",280,"tcp","ftp_data","SF","normal"
"526",0,"udp","ntp_u","SF","anomaly"
"527",0,"tcp","printer","S0","anomaly"
"528",0,"tcp","http","SF","normal"
"529",5,"tcp","pop_2","SF","anomaly"
"530",2,"tcp","rje","SF","normal"
"531",0,"tcp","printer","RSTR","anomaly"
"532",1,"tcp","rje","SF","normal"
"533",0,"tcp","http","S0","anomaly"
"534",0,"tcp","ftp_data","SF","normal"
"535",288,"tcp","ftp","SF","normal"
"536",0,"tcp","printer","REJ","anomaly"
"537",0,"tcp","http","SF","normal"
"538",0,"tcp","http","SF","normal"
"539",0,"udp","domain_u","SF","normal"
"540",0,"tcp","http","SF","normal"
"541",0,"tcp","http","SF","normal"
"542",0,"tcp","ftp","RSTO","anomaly"
"543",0,"tcp","http","SF","normal"
"544",0,"tcp","http","SF","normal"
"545",0,"tcp","http","SF","normal"
"546",4,"tcp","pop_2","SF","normal"
"547",8,"tcp","rje","SF","normal"
"548",0,"tcp","printer","REJ","anomaly"
"549",0,"udp","printer","SF","anomaly"
"550",0,"tcp","http","SF","normal"
"551",0,"tcp","http","SF","normal"
"552",0,"tcp","printer","REJ","anomaly"
"553",841,"tcp","http","RSTR","normal"
"554",0,"tcp","http","SF","normal"
"555",0,"tcp","http","SF","normal"
"556",0,"udp","printer","SF","normal"
"557",0,"tcp","http","SF","normal"
"558",0,"tcp","printer","REJ","anomaly"
"559",0,"tcp","http","SF","normal"
"560",0,"tcp","ftp_data","SF","normal"
"561",0,"tcp","http","SF","normal"
"562",0,"tcp","http","SF","normal"
"563",0,"tcp","link","S0","anomaly"
"564",0,"icmp","ecr_i","SF","anomaly"
"565",0,"tcp","pop_2","RSTO","anomaly"
"566",0,"tcp","printer","S0","anomaly"
"567",0,"tcp","http","SF","normal"
"568",0,"udp","domain_u","SF","normal"
"569",0,"icmp","ecr_i","SF","anomaly"
"570",0,"udp","printer","SF","anomaly"
"571",0,"tcp","http","SF","normal"
"572",0,"tcp","http","SF","normal"
"573",0,"tcp","http","S1","normal"
"574",0,"tcp","http","SF","normal"
"575",0,"udp","printer","SF","normal"
"576",0,"tcp","http","SF","normal"
"577",0,"icmp","ecr_i","SF","anomaly"
"578",0,"tcp","http","SF","normal"
"579",0,"tcp","http","SF","normal"
"580",0,"tcp","http","SF","normal"
"581",0,"icmp","ecr_i","SF","anomaly"
"582",0,"tcp","http","SF","normal"
"583",902,"tcp","http","RSTR","normal"
"584",0,"tcp","urp_i","REJ","anomaly"
"585",0,"tcp","ftp_data","SF","anomaly"
"586",0,"tcp","http","SF","normal"
"587",0,"tcp","supdup","SF","normal"
"588",0,"tcp","ftp","SF","anomaly"
"589",0,"tcp","printer","REJ","anomaly"
"590",0,"udp","printer","SF","normal"
"591",0,"icmp","ecr_i","SF","anomaly"
"592",0,"tcp","ntp_u","REJ","anomaly"
"593",0,"tcp","http","SF","normal"
"594",2066,"tcp","http","RSTR","normal"
"595",0,"udp","printer","SF","anomaly"
"596",0,"udp","domain_u","SF","normal"
"597",0,"tcp","rje","SF","normal"
"598",0,"tcp","printer","S0","anomaly"
"599",54451,"tcp","supdup","SF","normal"
"600",0,"tcp","printer","REJ","anomaly"
"601",1,"tcp","rje","SF","normal"
"602",0,"tcp","printer","S0","anomaly"
"603",0,"tcp","http","SF","normal"
"604",0,"tcp","http","S0","anomaly"
"605",0,"tcp","printer","REJ","anomaly"
"606",0,"tcp","http","SF","normal"
"607",0,"tcp","supdup","S0","anomaly"
"608",0,"tcp","http","SF","normal"
"609",0,"udp","printer","SF","normal"
"610",0,"icmp","ecr_i","SF","anomaly"
"611",0,"tcp","printer","REJ","anomaly"
"612",0,"tcp","printer","REJ","anomaly"
"613",4,"tcp","pop_2","SF","normal"
"614",0,"tcp","printer","S0","anomaly"
"615",0,"tcp","rje","SF","normal"
"616",0,"tcp","printer","SH","anomaly"
"617",0,"tcp","http","SF","normal"
"618",0,"tcp","http","SF","normal"
"619",0,"tcp","http","SF","normal"
"620",0,"tcp","http","SF","normal"
"621",0,"tcp","printer","REJ","anomaly"
"622",0,"tcp","http","SF","normal"
"623",0,"tcp","ftp_data","SF","anomaly"
"624",0,"tcp","gopher","REJ","anomaly"
"625",0,"tcp","supdup","S3","anomaly"
"626",0,"tcp","supdup","SF","normal"
"627",0,"udp","domain_u","SF","normal"
"628",0,"tcp","printer","REJ","anomaly"
"629",0,"tcp","http","REJ","anomaly"
"630",7400,"tcp","supdup","SF","anomaly"
"631",0,"tcp","printer","REJ","anomaly"
"632",0,"tcp","supdup","SF","normal"
"633",0,"tcp","http","SF","normal"
"634",898,"tcp","http","RSTR","normal"
"635",0,"tcp","http","SF","normal"
"636",0,"tcp","printer","S0","anomaly"
"637",0,"tcp","supdup","SF","normal"
"638",0,"tcp","exec","RSTO","anomaly"
"639",0,"tcp","http","SF","normal"
"640",0,"tcp","printer","REJ","anomaly"
"641",0,"udp","printer","SF","normal"
"642",0,"icmp","eco_i","SF","anomaly"
"643",4,"tcp","pop_2","SF","anomaly"
"644",0,"tcp","http","S0","anomaly"
"645",0,"tcp","ntp_u","REJ","anomaly"
"646",0,"udp","printer","SF","anomaly"
"647",0,"tcp","printer","S0","anomaly"
"648",0,"icmp","eco_i","SF","anomaly"
"649",0,"tcp","http","SF","normal"
